puuid,date,lane,individualPosition,win,match_id,championname
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-31 17:26:49,JUNGLE,JUNGLE,True,EUW1_5703629671,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-31 17:14:46,NONE,JUNGLE,False,EUW1_5703568929,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-31 16:34:21,JUNGLE,JUNGLE,False,EUW1_5703519955,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-19 18:23:14,JUNGLE,JUNGLE,True,EUW1_5677791059,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-16 16:50:46,NONE,JUNGLE,True,EUW1_5671878341,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-16 12:31:05,MIDDLE,MIDDLE,False,EUW1_5671376642,Yone
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-14 15:59:26,NONE,MIDDLE,True,EUW1_5667237982,Yone
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-14 15:29:08,JUNGLE,JUNGLE,False,EUW1_5667291614,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-14 12:22:14,JUNGLE,JUNGLE,True,EUW1_5666975531,Vi
WkN99cwwIXv0mJMfKeqc_91y0IKI9bCaXTAUV8Nxgb9qd4HkuBW_FRjtapHPUqxF8ZDcWuomImNKAg,2022-01-13 20:20:55,JUNGLE,JUNGLE,False,EUW1_5666130611,Hecarim
